E1013E,Host or EPP serial no cannot be found in,If error occurs again ^then contact your system manager.
E1013F,not E/V/C key types,If error occurs again ^then contact your system manager.
E10140,Cannot write to the MPA,If error occurs again ^then contact your system manager.
E10141,Subject id not recognized,If error occurs again ^then contact your system manager.
E10142,Unknown certificate identifier,If error occurs again ^then contact your system manager.
E10143,bad structure of the valifity element or ^data format not in UTC,If error occurs again ^then contact your system manager.
E10144,Structure of public key element incorrect,If error occurs again ^then contact your system manager.
E10145,modulus is not as expected an ^integer element,If error occurs again ^then contact your system manager.
E10146,exponent is not as expected an ^integer element,If error occurs again ^then contact your system manager.
E10147,UNSUPPORTED_ENCRYPTIONALGO,If error occurs again ^then contact your system manager.
E10148,the keyusage specified is not supported,If error occurs again ^then contact your system manager.
E10149,Mismatch when comparing internal ^key modulul len with received modulus,If error occurs again ^then contact your system manager.
E1014A,Mismatch when comparing internal ^key modululs value with received modulus,If error occurs again ^then contact your system manager.
E1014B,Mismatch when comparing internal ^key exponent value with received modulus,If error occurs again ^then contact your system manager.
E1014C,mismatch between own nonce - ^received or bad length of field,If error occurs again ^then contact your system manager.
E1014D,Signature Algorithm ^Value or Length error.,If error occurs again ^then contact your system manager.
E1014E,The requested certificate is empty,If error occurs again ^then contact your system manager.
E1014F,PIN-reg. ^MPA-read error! (should not be possible! / ^implies an NVM failure).,If error occurs again ^then contact your system manager.
E10209,ERR_LENGTH_DIFF,If error occurs again ^then contact your system manager.
E1020A,ERR_RECOVERED_DATA_TRAILER,If error occurs again ^then contact your system manager.
E1020B,ERR_RECOVERED_DATA_HEADER,If error occurs again ^then contact your system manager.
E1020C,ERR_CERTIFICATE_FORMAT,If error occurs again ^then contact your system manager.
E1020D,ERR_HASH_ALGORITHM_INDICATOR,If error occurs again ^then contact your system manager.
E1020E,ERR_RECOVERED^_VS_CALCULATED_HASH,If error occurs again ^then contact your system manager.
E1020F,ERR_RECOVERED_PAN,If error occurs again ^then contact your system manager.
E10210,ERR_RECOVERED^_ALGORITHM_INDICATOR,If error occurs again ^then contact your system manager.
E10211,ERR_RID,If error occurs again ^then contact your system manager.
